ACCOUNT_ID,Type,COUNTRY,PRODUCT,MONTH,UNIT_SALES (in Million $),Per Unit Expense,TOTAL_EXPENSE (in Million $),SALESFORCE_EXPENSE (in Million $),DIGITAL_EXPENSE (in Million $)
376321,Medium,COUNTRY 1,Drug_2,01-08-2010,61.23168392,5.827553691,10.50727066,6.100165184,3.46393342
376321,Medium,COUNTRY 1,Drug_2,01-09-2010,47.2868542,4.277411659,11.05501597,6.037500288,3.83035177
376321,Medium,COUNTRY 1,Drug_2,01-10-2010,29.14318503,1.91990722,15.17947572,8.310196088,5.591069923
376321,Medium,COUNTRY 1,Drug_2,01-11-2010,74.90923323,5.073758642,14.76405137,8.3480213,5.254492376
376321,Medium,COUNTRY 1,Drug_2,01-12-2010,37.44114084,2.455262234,15.24934499,9.054046903,5.889635948
376321,Medium,COUNTRY 1,Drug_2,01-01-2011,39.74300801,3.100394191,12.81869516,7.558917495,5.013424358
376321,Medium,COUNTRY 1,Drug_2,01-02-2011,53.30212304,4.653086644,11.45521825,5.899767443,4.232768586
376321,Medium,COUNTRY 1,Drug_2,01-03-2011,27.07650156,2.476809162,10.93200961,6.52949975,3.831403325
376321,Medium,COUNTRY 1,Drug_2,01-04-2011,41.56923052,3.023806108,13.74732011,7.807452073,4.77314274
376321,Medium,COUNTRY 1,Drug_2,01-05-2011,47.46812859,3.458233497,13.72612018,8.126433057,5.032488438
376321,Medium,COUNTRY 1,Drug_2,01-06-2011,37.44114084,2.723675783,13.74654835,7.312724343,5.111693957
376321,Medium,COUNTRY 1,Drug_2,01-07-2011,27.15141108,1.97257792,13.76443019,8.208550044,4.696556868
376321,Medium,COUNTRY 1,Drug_2,01-08-2011,33.21745615,2.785206534,11.92638885,6.786939744,4.720500783
376321,Medium,COUNTRY 1,Drug_2,01-09-2011,68.40542044,4.907975715,13.93760369,7.722149672,5.219043566
376321,Medium,COUNTRY 1,Drug_2,01-10-2011,44.46236513,4.410888246,10.08013866,5.426423512,3.299003298
376321,Medium,COUNTRY 1,Drug_2,01-11-2011,27.26748574,2.355937815,11.5739412,6.0412298,4.293805176
376321,Medium,COUNTRY 1,Drug_2,01-12-2011,39.83448962,3.605972563,11.04680885,5.724083622,4.116681666
376321,Medium,COUNTRY 1,Drug_2,01-01-2012,21.40454512,2.395533497,8.935189239,4.720080163,3.415019154
376321,Medium,COUNTRY 1,Drug_2,01-02-2012,33.17967057,3.88582864,8.538634522,4.723825957,2.928520463
376321,Medium,COUNTRY 1,Drug_2,01-03-2012,21.34153525,2.458066976,8.682243185,5.087385643,3.331338814
376321,Medium,COUNTRY 1,Drug_2,01-04-2012,33.16315254,2.720012097,12.19228127,6.882254742,4.169728224
376321,Medium,COUNTRY 1,Drug_2,01-05-2012,64.76918215,4.563193811,14.1938267,7.654004205,5.200552838
376321,Medium,COUNTRY 1,Drug_2,01-06-2012,33.03009634,2.447458837,13.49566981,7.812307375,4.868769475
376321,Medium,COUNTRY 1,Drug_2,01-07-2012,27.37570493,1.988915185,13.76413893,7.73100535,5.422795507
376321,Medium,COUNTRY 1,Drug_2,01-08-2012,68.73398366,4.854382829,14.1591601,7.951280526,5.505486503
376321,Medium,COUNTRY 1,Drug_2,01-09-2012,36.38679696,2.963173885,12.27966983,7.27756928,4.898468032
376321,Medium,COUNTRY 1,Drug_2,01-10-2012,46.6789003,3.507454534,13.30848336,7.752800672,5.252447756
376321,Medium,COUNTRY 1,Drug_2,01-11-2012,54.15534015,3.843932603,14.08852489,7.839598982,4.946258516
376321,Medium,COUNTRY 1,Drug_2,01-12-2012,30.21734224,2.156128047,14.01463252,7.782525372,5.34793904
376321,Medium,COUNTRY 1,Drug_2,01-01-2013,52.59966641,4.947444112,10.63168481,6.107722556,3.736615854
376321,Medium,COUNTRY 1,Drug_2,01-02-2013,33.83186806,2.673234571,12.65577979,7.477335298,4.668556563
376321,Medium,COUNTRY 1,Drug_2,01-03-2013,29.19356143,2.305607604,12.66198176,6.851368527,4.903422039
376321,Medium,COUNTRY 1,Drug_2,01-04-2013,29.74138996,2.77039099,10.73544856,5.737918778,4.099492872
376321,Medium,COUNTRY 1,Drug_2,01-05-2013,34.91050783,3.335972484,10.46486684,5.386939137,3.442874961
376321,Medium,COUNTRY 1,Drug_2,01-06-2013,33.14363632,3.38345544,9.79579513,5.789393919,3.761705793
376321,Medium,COUNTRY 1,Drug_2,01-07-2013,46.82154914,3.785411414,12.36894594,6.712127312,4.761939397
376321,Medium,COUNTRY 1,Drug_2,01-08-2013,40.50711572,3.007119407,13.47040481,7.782472377,4.78970941
376321,Medium,COUNTRY 1,Drug_2,01-09-2013,46.4033276,3.652862732,12.70327713,7.312819682,5.076948096
376321,Medium,COUNTRY 1,Drug_2,01-10-2013,32.08819038,2.669873092,12.01862009,6.441956648,4.438014854
376321,Medium,COUNTRY 1,Drug_2,01-11-2013,31.16280731,2.643133633,11.79009904,6.387036868,4.6461553
376321,Medium,COUNTRY 1,Drug_2,01-12-2013,47.95103444,3.936747176,12.1803693,6.935466317,4.452383585
376321,Medium,COUNTRY 1,Drug_2,01-01-2014,26.88773545,2.960437274,9.082352695,4.483704735,3.609263305
376321,Medium,COUNTRY 1,Drug_2,01-02-2014,27.60689922,3.539855974,7.798876401,3.902717992,3.056611867
376321,Medium,COUNTRY 1,Drug_2,01-03-2014,33.72529479,3.605556313,9.353700751,4.73386103,2.954167736
376321,Medium,COUNTRY 1,Drug_2,01-04-2014,20.53592907,2.774249653,7.402336358,4.108977905,2.6157746
